"acc","accuracy","average_response_time","avg_rt","background","block","canvas_backend","clock_backend","color_backend","compensation","coordinates","correct","correct_instruction1","correct_keyboard_response","correct_response","count_ISI","count_correctFeedback","count_experiment","count_experimentalLoop","count_expsequence","count_fixation","count_incorrectFeedback","count_instruction1","count_instruction2","count_instruction3","count_keyboard_response","count_logger","count_memoryset","count_practiceloop","count_probe","datetime","description","disable_garbage_collection","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","keyboard_backend","live_row","live_row_practiceloop","logfile","mouse_backend","numberSet","opensesame_codename","opensesame_version","posInSet","present","repeat_cycle","response","response_instruction1","response_instruction2","response_instruction3","response_keyboard_response","response_time","response_time_instruction1","response_time_instruction2","response_time_instruction3","response_time_keyboard_response","round_decimals","sampler_backend","setSize","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","subject_nr","subject_parity","target","time_ISI","time_correctFeedback","time_experiment","time_experimentalLoop","time_expsequence","time_fixation","time_incorrectFeedback","time_instruction1","time_instruction2","time_instruction3","time_keyboard_response","time_logger","time_memoryset","time_practiceloop","time_probe","title","total_correct","total_response_time","total_responses","uniform_coordinates","width"
"72.7272727273","72.7272727273","981.363636364","981.363636364","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","left","10","10","0","0","10","10","10","0","0","0","10","10","10","0","10","10/23/22 20:15:33","The main experiment item","yes","SternbergTask.osexp","C:/Users/casme/OneDrive/Desktop/Fall 2022","no","mono","no","18","no","white","no","yes","768","legacy","10","10","C:/Users/casme/OneDrive/Desktop/Fall 2022/IC-subjectx-4.csv","legacy","4 8","Lentiform Loewenfeld","3.3.12","1","y","0","left","left","NA","NA","left","637","2702","NA","NA","637","2","legacy","2","1024","2","48000","-16","experiment","4","even","4","71024","61280","2253","NA","68817","68819","67741","2255","NA","NA","73028","73666","69821","4959","73028","Sternberg Task","8","10795","11","yes","1024"
"66.6666666667","66.6666666667","1032","1032","black","practice","legacy","legacy","legacy","0","uniform","0","undefined","0","right","11","11","0","0","11","11","11","0","0","0","11","11","11","0","11","10/23/22 20:15:33","The main experiment item","yes","SternbergTask.osexp","C:/Users/casme/OneDrive/Desktop/Fall 2022","no","mono","no","18","no","white","no","yes","768","legacy","11","11","C:/Users/casme/OneDrive/Desktop/Fall 2022/IC-subjectx-4.csv","legacy","2 1","Lentiform Loewenfeld","3.3.12","0","n","0","left","left","NA","NA","left","1589","2702","NA","NA","1589","2","legacy","2","1024","2","48000","-16","experiment","4","even","5","76958","73672","2253","NA","74751","74753","67741","2255","NA","NA","78960","80549","75755","4959","78960","Sternberg Task","8","12384","12","yes","1024"
"61.5384615385","61.5384615385","1106.46153846","1106.46153846","black","experiment","legacy","legacy","legacy","0","uniform","0","undefined","0","left","12","12","0","0","12","12","12","0","0","0","12","12","12","0","12","10/23/22 20:15:33","The main experiment item","yes","SternbergTask.osexp","C:/Users/casme/OneDrive/Desktop/Fall 2022","no","mono","no","18","no","white","no","yes","768","legacy","0","11","C:/Users/casme/OneDrive/Desktop/Fall 2022/IC-subjectx-4.csv","legacy","5 7 8 2 3 8","Lentiform Loewenfeld","3.3.12","5","y","0","None","left","right","NA","None","2000","2702","1688","NA","2000","2","legacy","6","1024","2","48000","-16","experiment","4","even","3","85538","73672","2253","83257","83333","83334","80555","2255","81569","NA","87540","89540","84336","4959","87540","Sternberg Task","8","14384","13","yes","1024"
"57.1428571429","57.1428571429","1082.57142857","1082.57142857","black","experiment","legacy","legacy","legacy","0","uniform","0","undefined","0","left","13","13","0","0","13","13","13","0","0","0","13","13","13","0","13","10/23/22 20:15:33","The main experiment item","yes","SternbergTask.osexp","C:/Users/casme/OneDrive/Desktop/Fall 2022","no","mono","no","18","no","white","no","yes","768","legacy","1","11","C:/Users/casme/OneDrive/Desktop/Fall 2022/IC-subjectx-4.csv","legacy","5 7 3 6 2","Lentiform Loewenfeld","3.3.12","5","y","0","right","left","right","NA","right","772","2702","1688","NA","772","2","legacy","5","1024","2","48000","-16","experiment","4","even","2","92832","73672","2253","83257","90626","90627","89546","2255","81569","NA","94835","95608","91630","4959","94834","Sternberg Task","8","15156","14","yes","1024"
"60","60","1048.6","1048.6","black","experiment","legacy","legacy","legacy","0","uniform","1","undefined","1","right","14","14","0","0","14","14","14","0","0","0","14","14","14","0","14","10/23/22 20:15:33","The main experiment item","yes","SternbergTask.osexp","C:/Users/casme/OneDrive/Desktop/Fall 2022","no","mono","no","18","no","white","no","yes","768","legacy","2","11","C:/Users/casme/OneDrive/Desktop/Fall 2022/IC-subjectx-4.csv","legacy","2 7 5","Lentiform Loewenfeld","3.3.12","0","n","0","right","left","right","NA","right","573","2702","1688","NA","573","2","legacy","3","1024","2","48000","-16","experiment","4","even","8","98882","73672","2253","83257","96674","96676","95612","2255","81569","NA","100885","101458","97679","4959","100885","Sternberg Task","9","15729","15","yes","1024"
"56.25","56.25","1108.0625","1108.0625","black","experiment","legacy","legacy","legacy","0","uniform","0","undefined","0","right","15","15","0","0","15","15","15","0","0","0","15","15","15","0","15","10/23/22 20:15:33","The main experiment item","yes","SternbergTask.osexp","C:/Users/casme/OneDrive/Desktop/Fall 2022","no","mono","no","18","no","white","no","yes","768","legacy","3","11","C:/Users/casme/OneDrive/Desktop/Fall 2022/IC-subjectx-4.csv","legacy","4 2 6 9","Lentiform Loewenfeld","3.3.12","0","n","0","None","left","right","NA","None","2000","2702","1688","NA","2000","2","legacy","4","1024","2","48000","-16","experiment","4","even","7","104745","101464","2253","83257","102539","102541","95612","2255","81569","NA","106747","108747","103543","4959","106747","Sternberg Task","9","17729","16","yes","1024"
"58.8235294118","58.8235294118","1072.47058824","1072.47058824","black","experiment","legacy","legacy","legacy","0","uniform","1","undefined","1","right","16","16","0","0","16","16","16","0","0","0","16","16","16","0","16","10/23/22 20:15:33","The main experiment item","yes","SternbergTask.osexp","C:/Users/casme/OneDrive/Desktop/Fall 2022","no","mono","no","18","no","white","no","yes","768","legacy","4","11","C:/Users/casme/OneDrive/Desktop/Fall 2022/IC-subjectx-4.csv","legacy","7 9","Lentiform Loewenfeld","3.3.12","0","n","0","right","left","right","NA","right","503","2702","1688","NA","503","2","legacy","2","1024","2","48000","-16","experiment","4","even","1","112036","101464","2253","83257","109830","109832","108752","2255","81569","NA","114039","114542","110834","4959","114039","Sternberg Task","10","18232","17","yes","1024"
"55.5555555556","55.5555555556","1045.22222222","1045.22222222","black","experiment","legacy","legacy","legacy","0","uniform","0","undefined","0","left","17","17","0","0","17","17","17","0","0","0","17","17","17","0","17","10/23/22 20:15:33","The main experiment item","yes","SternbergTask.osexp","C:/Users/casme/OneDrive/Desktop/Fall 2022","no","mono","no","18","no","white","no","yes","768","legacy","5","11","C:/Users/casme/OneDrive/Desktop/Fall 2022/IC-subjectx-4.csv","legacy","8 3","Lentiform Loewenfeld","3.3.12","2","y","0","right","left","right","NA","right","582","2702","1688","NA","582","2","legacy","2","1024","2","48000","-16","experiment","4","even","3","117831","114549","2253","83257","115624","115626","108752","2255","81569","NA","119834","120416","116629","4959","119833","Sternberg Task","10","18814","18","yes","1024"
"52.6315789474","52.6315789474","1095.47368421","1095.47368421","black","experiment","legacy","legacy","legacy","0","uniform","0","undefined","0","right","18","18","0","0","18","18","18","0","0","0","18","18","18","0","18","10/23/22 20:15:33","The main experiment item","yes","SternbergTask.osexp","C:/Users/casme/OneDrive/Desktop/Fall 2022","no","mono","no","18","no","white","no","yes","768","legacy","6","11","C:/Users/casme/OneDrive/Desktop/Fall 2022/IC-subjectx-4.csv","legacy","2 8 9 4 1","Lentiform Loewenfeld","3.3.12","0","n","0","None","left","right","NA","None","2000","2702","1688","NA","2000","2","legacy","5","1024","2","48000","-16","experiment","4","even","5","123695","114549","2253","83257","121488","121490","120422","2255","81569","NA","125698","127698","122493","4959","125698","Sternberg Task","10","20814","19","yes","1024"
"55","55","1090.2","1090.2","black","experiment","legacy","legacy","legacy","0","uniform","1","undefined","1","right","19","19","0","0","19","19","19","0","0","0","19","19","19","0","19","10/23/22 20:15:33","The main experiment item","yes","SternbergTask.osexp","C:/Users/casme/OneDrive/Desktop/Fall 2022","no","mono","no","18","no","white","no","yes","768","legacy","7","11","C:/Users/casme/OneDrive/Desktop/Fall 2022/IC-subjectx-4.csv","legacy","7 9 1 6","Lentiform Loewenfeld","3.3.12","0","n","0","right","left","right","NA","right","990","2702","1688","NA","990","2","legacy","4","1024","2","48000","-16","experiment","4","even","4","130989","114549","2253","83257","128783","128784","127703","2255","81569","NA","132990","133981","129787","4959","132990","Sternberg Task","11","21804","20","yes","1024"
"57.1428571429","57.1428571429","1076.19047619","1076.19047619","black","experiment","legacy","legacy","legacy","0","uniform","1","undefined","1","right","20","20","0","0","20","20","20","0","0","0","20","20","20","0","20","10/23/22 20:15:33","The main experiment item","yes","SternbergTask.osexp","C:/Users/casme/OneDrive/Desktop/Fall 2022","no","mono","no","18","no","white","no","yes","768","legacy","8","11","C:/Users/casme/OneDrive/Desktop/Fall 2022/IC-subjectx-4.csv","legacy","8 5 7 3 6","Lentiform Loewenfeld","3.3.12","0","n","0","right","left","right","NA","right","796","2702","1688","NA","796","2","legacy","5","1024","2","48000","-16","experiment","4","even","9","137264","133986","2253","83257","135057","135059","127703","2255","81569","NA","139266","140062","136061","4959","139266","Sternberg Task","12","22600","21","yes","1024"
"54.5454545455","54.5454545455","1118.18181818","1118.18181818","black","experiment","legacy","legacy","legacy","0","uniform","0","undefined","0","left","21","21","0","0","21","21","21","0","0","0","21","21","21","0","21","10/23/22 20:15:33","The main experiment item","yes","SternbergTask.osexp","C:/Users/casme/OneDrive/Desktop/Fall 2022","no","mono","no","18","no","white","no","yes","768","legacy","9","11","C:/Users/casme/OneDrive/Desktop/Fall 2022/IC-subjectx-4.csv","legacy","5 2 6","Lentiform Loewenfeld","3.3.12","2","y","0","None","left","right","NA","None","2000","2702","1688","NA","2000","2","legacy","3","1024","2","48000","-16","experiment","4","even","2","143350","140068","2253","83257","141143","141145","127703","2255","81569","NA","145353","147353","142148","4959","145352","Sternberg Task","12","24600","22","yes","1024"
"56.5217391304","56.5217391304","1097.34782609","1097.34782609","black","experiment","legacy","legacy","legacy","0","uniform","1","undefined","1","right","22","22","0","0","22","22","22","0","0","0","22","22","22","0","22","10/23/22 20:15:33","The main experiment item","yes","SternbergTask.osexp","C:/Users/casme/OneDrive/Desktop/Fall 2022","no","mono","no","18","no","white","no","yes","768","legacy","10","11","C:/Users/casme/OneDrive/Desktop/Fall 2022/IC-subjectx-4.csv","legacy","1 7 5 2","Lentiform Loewenfeld","3.3.12","0","n","0","right","left","right","NA","right","639","2702","1688","NA","639","2","legacy","4","1024","2","48000","-16","experiment","4","even","3","150643","140068","2253","83257","148436","148437","147358","2255","81569","NA","152646","153286","149440","4959","152646","Sternberg Task","13","25239","23","yes","1024"
"58.3333333333","58.3333333333","1107.91666667","1107.91666667","black","experiment","legacy","legacy","legacy","0","uniform","1","undefined","1","left","23","23","0","0","23","23","23","0","0","0","23","23","23","0","23","10/23/22 20:15:33","The main experiment item","yes","SternbergTask.osexp","C:/Users/casme/OneDrive/Desktop/Fall 2022","no","mono","no","18","no","white","no","yes","768","legacy","11","11","C:/Users/casme/OneDrive/Desktop/Fall 2022/IC-subjectx-4.csv","legacy","2 4 8 5 1 3","Lentiform Loewenfeld","3.3.12","1","y","0","left","left","right","NA","left","1351","2702","1688","NA","1351","2","legacy","6","1024","2","48000","-16","experiment","4","even","2","156579","153293","2253","83257","154371","154373","147358","2255","81569","NA","158581","159932","155376","4959","158581","Sternberg Task","14","26590","24","yes","1024"
"60","60","1105.64","1105.64","black","experiment","legacy","legacy","legacy","0","uniform","1","undefined","1","left","24","24","0","0","24","24","24","0","0","0","24","24","24","0","24","10/23/22 20:15:33","The main experiment item","yes","SternbergTask.osexp","C:/Users/casme/OneDrive/Desktop/Fall 2022","no","mono","no","18","no","white","no","yes","768","legacy","12","11","C:/Users/casme/OneDrive/Desktop/Fall 2022/IC-subjectx-4.csv","legacy","7","Lentiform Loewenfeld","3.3.12","1","y","0","left","left","right","NA","left","1051","2702","1688","NA","1051","2","legacy","1","1024","2","48000","-16","experiment","4","even","7","163205","159938","2253","83257","161000","161001","147358","2255","81569","NA","165208","166259","162003","4959","165207","Sternberg Task","15","27641","25","yes","1024"
"61.5384615385","61.5384615385","1090.96153846","1090.96153846","black","experiment","legacy","legacy","legacy","0","uniform","1","undefined","1","left","25","25","0","0","25","25","25","0","0","0","25","25","25","0","25","10/23/22 20:15:33","The main experiment item","yes","SternbergTask.osexp","C:/Users/casme/OneDrive/Desktop/Fall 2022","no","mono","no","18","no","white","no","yes","768","legacy","13","11","C:/Users/casme/OneDrive/Desktop/Fall 2022/IC-subjectx-4.csv","legacy","8 7 3","Lentiform Loewenfeld","3.3.12","1","y","0","left","left","right","NA","left","724","2702","1688","NA","724","2","legacy","3","1024","2","48000","-16","experiment","4","even","8","169533","166265","2253","83257","167328","167330","147358","2255","81569","NA","171536","172260","168332","4959","171536","Sternberg Task","16","28365","26","yes","1024"
"62.962962963","62.962962963","1074.18518519","1074.18518519","black","experiment","legacy","legacy","legacy","0","uniform","1","undefined","1","right","26","26","0","0","26","26","26","0","0","0","26","26","26","0","26","10/23/22 20:15:33","The main experiment item","yes","SternbergTask.osexp","C:/Users/casme/OneDrive/Desktop/Fall 2022","no","mono","no","18","no","white","no","yes","768","legacy","14","11","C:/Users/casme/OneDrive/Desktop/Fall 2022/IC-subjectx-4.csv","legacy","2 5 1 4","Lentiform Loewenfeld","3.3.12","0","n","0","right","left","right","NA","right","638","2702","1688","NA","638","2","legacy","4","1024","2","48000","-16","experiment","4","even","6","175550","172268","2253","83257","173344","173346","147358","2255","81569","NA","177552","178190","174348","4959","177552","Sternberg Task","17","29003","27","yes","1024"
"64.2857142857","64.2857142857","1055.14285714","1055.14285714","black","experiment","legacy","legacy","legacy","0","uniform","1","undefined","1","right","27","27","0","0","27","27","27","0","0","0","27","27","27","0","27","10/23/22 20:15:33","The main experiment item","yes","SternbergTask.osexp","C:/Users/casme/OneDrive/Desktop/Fall 2022","no","mono","no","18","no","white","no","yes","768","legacy","15","11","C:/Users/casme/OneDrive/Desktop/Fall 2022/IC-subjectx-4.csv","legacy","5 2","Lentiform Loewenfeld","3.3.12","0","n","0","right","left","right","NA","right","541","2702","1688","NA","541","2","legacy","2","1024","2","48000","-16","experiment","4","even","7","181483","178197","2253","83257","179277","179279","147358","2255","81569","NA","183485","184027","180281","4959","183485","Sternberg Task","18","29544","28","yes","1024"
"65.5172413793","65.5172413793","1040.06896552","1040.06896552","black","experiment","legacy","legacy","legacy","0","uniform","1","undefined","1","right","28","28","0","0","28","28","28","0","0","0","28","28","28","0","28","10/23/22 20:15:33","The main experiment item","yes","SternbergTask.osexp","C:/Users/casme/OneDrive/Desktop/Fall 2022","no","mono","no","18","no","white","no","yes","768","legacy","16","11","C:/Users/casme/OneDrive/Desktop/Fall 2022/IC-subjectx-4.csv","legacy","1 7 8 3 9","Lentiform Loewenfeld","3.3.12","0","n","0","right","left","right","NA","right","618","2702","1688","NA","618","2","legacy","5","1024","2","48000","-16","experiment","4","even","2","187315","184032","2253","83257","185109","185111","147358","2255","81569","NA","189317","189935","186113","4959","189317","Sternberg Task","19","30162","29","yes","1024"
"63.3333333333","63.3333333333","1029.7","1029.7","black","experiment","legacy","legacy","legacy","0","uniform","0","undefined","0","left","29","29","0","0","29","29","29","0","0","0","29","29","29","0","29","10/23/22 20:15:33","The main experiment item","yes","SternbergTask.osexp","C:/Users/casme/OneDrive/Desktop/Fall 2022","no","mono","no","18","no","white","no","yes","768","legacy","17","11","C:/Users/casme/OneDrive/Desktop/Fall 2022/IC-subjectx-4.csv","legacy","9 1 6 7 8","Lentiform Loewenfeld","3.3.12","1","y","0","right","left","right","NA","right","729","2702","1688","NA","729","2","legacy","5","1024","2","48000","-16","experiment","4","even","9","193209","189941","2253","83257","191002","191003","147358","2255","81569","NA","195212","195941","192006","4959","195212","Sternberg Task","19","30891","30","yes","1024"
"64.5161290323","64.5161290323","1012.09677419","1012.09677419","black","experiment","legacy","legacy","legacy","0","uniform","1","undefined","1","left","30","30","0","0","30","30","30","0","0","0","30","30","30","0","30","10/23/22 20:15:33","The main experiment item","yes","SternbergTask.osexp","C:/Users/casme/OneDrive/Desktop/Fall 2022","no","mono","no","18","no","white","no","yes","768","legacy","18","11","C:/Users/casme/OneDrive/Desktop/Fall 2022/IC-subjectx-4.csv","legacy","8","Lentiform Loewenfeld","3.3.12","1","y","0","left","left","right","NA","left","484","2702","1688","NA","484","2","legacy","1","1024","2","48000","-16","experiment","4","even","8","199232","189941","2253","83257","197026","197028","195948","2255","81569","NA","201236","201721","198030","4959","201236","Sternberg Task","20","31375","31","yes","1024"
"65.625","65.625","1003.875","1003.875","black","experiment","legacy","legacy","legacy","0","uniform","1","undefined","1","left","31","31","0","0","31","31","31","0","0","0","31","31","31","0","31","10/23/22 20:15:33","The main experiment item","yes","SternbergTask.osexp","C:/Users/casme/OneDrive/Desktop/Fall 2022","no","mono","no","18","no","white","no","yes","768","legacy","19","11","C:/Users/casme/OneDrive/Desktop/Fall 2022/IC-subjectx-4.csv","legacy","6 5","Lentiform Loewenfeld","3.3.12","2","y","0","left","left","right","NA","left","749","2702","1688","NA","749","2","legacy","2","1024","2","48000","-16","experiment","4","even","5","205011","201727","2253","83257","202805","202806","195948","2255","81569","NA","207013","207762","203808","4959","207013","Sternberg Task","21","32124","32","yes","1024"
"63.6363636364","63.6363636364","989.060606061","989.060606061","black","experiment","legacy","legacy","legacy","0","uniform","0","undefined","0","left","32","32","0","0","32","32","32","0","0","0","32","32","32","0","32","10/23/22 20:15:33","The main experiment item","yes","SternbergTask.osexp","C:/Users/casme/OneDrive/Desktop/Fall 2022","no","mono","no","18","no","white","no","yes","768","legacy","20","11","C:/Users/casme/OneDrive/Desktop/Fall 2022/IC-subjectx-4.csv","legacy","8 5 3 7 4 6","Lentiform Loewenfeld","3.3.12","6","y","0","right","left","right","NA","right","515","2702","1688","NA","515","2","legacy","6","1024","2","48000","-16","experiment","4","even","6","211050","207769","2253","83257","208843","208845","195948","2255","81569","NA","213053","213569","209848","4959","213052","Sternberg Task","21","32639","33","yes","1024"
"61.7647058824","61.7647058824","1018.79411765","1018.79411765","black","experiment","legacy","legacy","legacy","0","uniform","0","undefined","0","left","33","33","0","0","33","33","33","0","0","0","33","33","33","0","33","10/23/22 20:15:33","The main experiment item","yes","SternbergTask.osexp","C:/Users/casme/OneDrive/Desktop/Fall 2022","no","mono","no","18","no","white","no","yes","768","legacy","21","11","C:/Users/casme/OneDrive/Desktop/Fall 2022/IC-subjectx-4.csv","legacy","3 5 9 6 2 4","Lentiform Loewenfeld","3.3.12","1","y","0","None","left","right","NA","None","2000","2702","1688","NA","2000","2","legacy","6","1024","2","48000","-16","experiment","4","even","3","216856","207769","2253","83257","214651","214653","213575","2255","81569","NA","218858","220858","215654","4959","218858","Sternberg Task","21","34639","34","yes","1024"
