"acc","accuracy","average_response_time","avg_rt","background","canvas_backend","clock_backend","color_backend","condition","correct","correct_instructions1_sketchpad","correct_keyboard_response","correct_response","count_Block1","count_Block2","count_Block3","count_Finish_sketchpad","count_ISI_sketchpad","count_Sequence","count_errorFeedback_sketchpad","count_experiment","count_faster_sketchpad","count_fixation_sketchpad","count_instructions1_sketchpad","count_keyboard_response","count_logger","count_new_1_sketchpad","count_new_sketchpad","count_stimulus_sketchpad","datetime","deadline","description","disable_garbage_collection","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","keyboard_backend","live_row","live_row_Block1","logfile","mouse_backend","opensesame_codename","opensesame_version","repeat_cycle","response","response_Finish_sketchpad","response_instructions1_sketchpad","response_keyboard_response","response_new_1_sketchpad","response_new_sketchpad","response_time","response_time_Finish_sketchpad","response_time_instructions1_sketchpad","response_time_keyboard_response","response_time_new_1_sketchpad","response_time_new_sketchpad","round_decimals","sampler_backend","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","stimulus","subject_nr","subject_parity","time_Block1","time_Block2","time_Block3","time_Finish_sketchpad","time_ISI_sketchpad","time_Sequence","time_errorFeedback_sketchpad","time_experiment","time_faster_sketchpad","time_fixation_sketchpad","time_instructions1_sketchpad","time_keyboard_response","time_logger","time_new_1_sketchpad","time_new_sketchpad","time_stimulus_sketchpad","title","total_correct","total_response_time","total_responses","width"
"90","90","567","567","#3d3846","legacy","legacy","legacy","incongruent","1","undefined","1","h","0","0","0","0","10","10","10","0","10","10","0","10","10","0","0","10","Tue Sep  5 19:10:39 2023","1500","The main experiment item","True","Flankertask.osexp","C:/Users/juzal/OneDrive/Documents/Masters of Equine Science/Advanced Quantitative Methods and Experiment Design","False","mono","False","18","no","white","no","yes","768","legacy","10","10","C:/Users/juzal/OneDrive/Documents/Masters of Equine Science/Advanced Quantitative Methods and Experiment Design/CH-subject-2.csv","legacy","Melodramatic Milgram","4.0.5","0","h","NA","h","h","NA","NA","584.0","NA","39738","584","NA","NA","2","legacy","1024","2","48000","-16","experiment","SSHSS","2","even","41410","NA","NA","NA","58019","59050","49127","1670","NA","59051","1672","59151","59735","NA","NA","59151","Flanker task","10","6237.0","11","1024"
"83","83","562","562","#3d3846","legacy","legacy","legacy","incongruent","0","undefined","0","s","0","0","0","0","11","11","11","0","11","11","0","11","11","0","0","11","Tue Sep  5 19:10:39 2023","1500","The main experiment item","True","Flankertask.osexp","C:/Users/juzal/OneDrive/Documents/Masters of Equine Science/Advanced Quantitative Methods and Experiment Design","False","mono","False","18","no","white","no","yes","768","legacy","11","11","C:/Users/juzal/OneDrive/Documents/Masters of Equine Science/Advanced Quantitative Methods and Experiment Design/CH-subject-2.csv","legacy","Melodramatic Milgram","4.0.5","0","h","NA","h","h","NA","NA","516.0","NA","39738","516","NA","NA","2","legacy","1024","2","48000","-16","experiment","HHSHH","2","even","41410","NA","NA","NA","59767","60797","49127","1670","NA","60799","1672","60899","61416","NA","NA","60899","Flanker task","10","6753.0","12","1024"
"84","84","563","563","#3d3846","legacy","legacy","legacy","incongruent","1","undefined","1","s","0","0","0","0","12","12","12","0","12","12","0","12","12","0","0","12","Tue Sep  5 19:10:39 2023","1500","The main experiment item","True","Flankertask.osexp","C:/Users/juzal/OneDrive/Documents/Masters of Equine Science/Advanced Quantitative Methods and Experiment Design","False","mono","False","18","no","white","no","yes","768","legacy","12","12","C:/Users/juzal/OneDrive/Documents/Masters of Equine Science/Advanced Quantitative Methods and Experiment Design/CH-subject-2.csv","legacy","Melodramatic Milgram","4.0.5","0","s","NA","h","s","NA","NA","567.0","NA","39738","567","NA","NA","2","legacy","1024","2","48000","-16","experiment","HHSHH","2","even","41410","NA","NA","NA","61920","62945","61420","1670","NA","62946","1672","63046","63614","NA","NA","63046","Flanker task","11","7320.0","13","1024"
"85","85","565","565","#3d3846","legacy","legacy","legacy","incongruent","1","undefined","1","h","0","0","0","0","13","13","13","0","13","13","0","13","13","0","0","13","Tue Sep  5 19:10:39 2023","1500","The main experiment item","True","Flankertask.osexp","C:/Users/juzal/OneDrive/Documents/Masters of Equine Science/Advanced Quantitative Methods and Experiment Design","False","mono","False","18","no","white","no","yes","768","legacy","13","13","C:/Users/juzal/OneDrive/Documents/Masters of Equine Science/Advanced Quantitative Methods and Experiment Design/CH-subject-2.csv","legacy","Melodramatic Milgram","4.0.5","0","h","NA","h","h","NA","NA","592.0","NA","39738","592","NA","NA","2","legacy","1024","2","48000","-16","experiment","SSHSS","2","even","41410","NA","NA","NA","63617","64645","61420","1670","NA","64646","1672","64747","65340","NA","NA","64747","Flanker task","12","7912.0","14","1024"
"86","86","563","563","#3d3846","legacy","legacy","legacy","congruent","1","undefined","1","s","0","0","0","0","14","14","14","0","14","14","0","14","14","0","0","14","Tue Sep  5 19:10:39 2023","1500","The main experiment item","True","Flankertask.osexp","C:/Users/juzal/OneDrive/Documents/Masters of Equine Science/Advanced Quantitative Methods and Experiment Design","False","mono","False","18","no","white","no","yes","768","legacy","14","14","C:/Users/juzal/OneDrive/Documents/Masters of Equine Science/Advanced Quantitative Methods and Experiment Design/CH-subject-2.csv","legacy","Melodramatic Milgram","4.0.5","0","s","NA","h","s","NA","NA","542.0","NA","39738","542","NA","NA","2","legacy","1024","2","48000","-16","experiment","SSSSS","2","even","41410","NA","NA","NA","65351","66382","61420","1670","NA","66383","1672","66483","67025","NA","NA","66483","Flanker task","13","8454.0","15","1024"
"87","87","562","562","#3d3846","legacy","legacy","legacy","incongruent","1","undefined","1","h","0","0","0","0","15","15","15","0","15","15","0","15","15","0","0","15","Tue Sep  5 19:10:39 2023","1500","The main experiment item","True","Flankertask.osexp","C:/Users/juzal/OneDrive/Documents/Masters of Equine Science/Advanced Quantitative Methods and Experiment Design","False","mono","False","18","no","white","no","yes","768","legacy","15","15","C:/Users/juzal/OneDrive/Documents/Masters of Equine Science/Advanced Quantitative Methods and Experiment Design/CH-subject-2.csv","legacy","Melodramatic Milgram","4.0.5","0","h","NA","h","h","NA","NA","543.0","NA","39738","543","NA","NA","2","legacy","1024","2","48000","-16","experiment","SSHSS","2","even","41410","NA","NA","NA","67065","68091","61420","1670","NA","68094","1672","68195","68738","NA","NA","68194","Flanker task","14","8997.0","16","1024"
"88","88","561","561","#3d3846","legacy","legacy","legacy","incongruent","1","undefined","1","s","0","0","0","0","16","16","16","0","16","16","0","16","16","0","0","16","Tue Sep  5 19:10:39 2023","1500","The main experiment item","True","Flankertask.osexp","C:/Users/juzal/OneDrive/Documents/Masters of Equine Science/Advanced Quantitative Methods and Experiment Design","False","mono","False","18","no","white","no","yes","768","legacy","16","16","C:/Users/juzal/OneDrive/Documents/Masters of Equine Science/Advanced Quantitative Methods and Experiment Design/CH-subject-2.csv","legacy","Melodramatic Milgram","4.0.5","0","s","NA","h","s","NA","NA","555.0","NA","39738","555","NA","NA","2","legacy","1024","2","48000","-16","experiment","HHSHH","2","even","41410","NA","NA","NA","68777","69802","61420","1670","NA","69803","1672","69904","70459","NA","NA","69903","Flanker task","15","9552.0","17","1024"
"88","88","560","560","#3d3846","legacy","legacy","legacy","congruent","1","undefined","1","h","0","0","0","0","17","17","17","0","17","17","0","17","17","0","0","17","Tue Sep  5 19:10:39 2023","1500","The main experiment item","True","Flankertask.osexp","C:/Users/juzal/OneDrive/Documents/Masters of Equine Science/Advanced Quantitative Methods and Experiment Design","False","mono","False","18","no","white","no","yes","768","legacy","17","17","C:/Users/juzal/OneDrive/Documents/Masters of Equine Science/Advanced Quantitative Methods and Experiment Design/CH-subject-2.csv","legacy","Melodramatic Milgram","4.0.5","0","h","NA","h","h","NA","NA","544.0","NA","39738","544","NA","NA","2","legacy","1024","2","48000","-16","experiment","HHHHH","2","even","41410","NA","NA","NA","70463","71487","61420","1670","NA","71488","1672","71588","72133","NA","NA","71588","Flanker task","16","10096.0","18","1024"
"89","89","560","560","#3d3846","legacy","legacy","legacy","incongruent","1","undefined","1","h","0","0","0","0","18","18","18","0","18","18","0","18","18","0","0","18","Tue Sep  5 19:10:39 2023","1500","The main experiment item","True","Flankertask.osexp","C:/Users/juzal/OneDrive/Documents/Masters of Equine Science/Advanced Quantitative Methods and Experiment Design","False","mono","False","18","no","white","no","yes","768","legacy","18","18","C:/Users/juzal/OneDrive/Documents/Masters of Equine Science/Advanced Quantitative Methods and Experiment Design/CH-subject-2.csv","legacy","Melodramatic Milgram","4.0.5","0","h","NA","h","h","NA","NA","551.0","NA","39738","551","NA","NA","2","legacy","1024","2","48000","-16","experiment","SSHSS","2","even","41410","NA","NA","NA","72136","73175","61420","1670","NA","73177","1672","73277","73828","NA","NA","73277","Flanker task","17","10647.0","19","1024"
"90","90","561","561","#3d3846","legacy","legacy","legacy","incongruent","1","undefined","1","s","0","0","0","0","19","19","19","0","19","19","0","19","19","0","0","19","Tue Sep  5 19:10:39 2023","1500","The main experiment item","True","Flankertask.osexp","C:/Users/juzal/OneDrive/Documents/Masters of Equine Science/Advanced Quantitative Methods and Experiment Design","False","mono","False","18","no","white","no","yes","768","legacy","19","19","C:/Users/juzal/OneDrive/Documents/Masters of Equine Science/Advanced Quantitative Methods and Experiment Design/CH-subject-2.csv","legacy","Melodramatic Milgram","4.0.5","0","s","NA","h","s","NA","NA","579.0","NA","39738","579","NA","NA","2","legacy","1024","2","48000","-16","experiment","HHSHH","2","even","41410","NA","NA","NA","73833","74867","61420","1670","NA","74868","1672","74968","75547","NA","NA","74968","Flanker task","18","11226.0","20","1024"
"90","90","562","562","#3d3846","legacy","legacy","legacy","congruent","1","undefined","1","h","0","0","0","0","20","20","20","0","20","20","0","20","20","0","0","20","Tue Sep  5 19:10:39 2023","1500","The main experiment item","True","Flankertask.osexp","C:/Users/juzal/OneDrive/Documents/Masters of Equine Science/Advanced Quantitative Methods and Experiment Design","False","mono","False","18","no","white","no","yes","768","legacy","20","20","C:/Users/juzal/OneDrive/Documents/Masters of Equine Science/Advanced Quantitative Methods and Experiment Design/CH-subject-2.csv","legacy","Melodramatic Milgram","4.0.5","0","h","NA","h","h","NA","NA","593.0","NA","39738","593","NA","NA","2","legacy","1024","2","48000","-16","experiment","HHHHH","2","even","41410","NA","NA","NA","75583","76610","61420","1670","NA","76611","1672","76711","77305","NA","NA","76711","Flanker task","19","11819.0","21","1024"
"86","86","560","560","#3d3846","legacy","legacy","legacy","incongruent","0","undefined","0","h","0","0","0","0","21","21","21","0","21","21","0","21","21","0","0","21","Tue Sep  5 19:10:39 2023","1500","The main experiment item","True","Flankertask.osexp","C:/Users/juzal/OneDrive/Documents/Masters of Equine Science/Advanced Quantitative Methods and Experiment Design","False","mono","False","18","no","white","no","yes","768","legacy","21","21","C:/Users/juzal/OneDrive/Documents/Masters of Equine Science/Advanced Quantitative Methods and Experiment Design/CH-subject-2.csv","legacy","Melodramatic Milgram","4.0.5","0","s","NA","h","s","NA","NA","506.0","NA","39738","506","NA","NA","2","legacy","1024","2","48000","-16","experiment","SSHSS","2","even","41410","NA","NA","NA","77343","78370","61420","1670","NA","78371","1672","78471","78977","NA","NA","78471","Flanker task","19","12325.0","22","1024"
"86","86","563","563","#3d3846","legacy","legacy","legacy","incongruent","1","undefined","1","s","0","0","0","0","22","22","22","0","22","22","0","22","22","0","0","22","Tue Sep  5 19:10:39 2023","1500","The main experiment item","True","Flankertask.osexp","C:/Users/juzal/OneDrive/Documents/Masters of Equine Science/Advanced Quantitative Methods and Experiment Design","False","mono","False","18","no","white","no","yes","768","legacy","22","22","C:/Users/juzal/OneDrive/Documents/Masters of Equine Science/Advanced Quantitative Methods and Experiment Design/CH-subject-2.csv","legacy","Melodramatic Milgram","4.0.5","0","s","NA","h","s","NA","NA","633.0","NA","39738","633","NA","NA","2","legacy","1024","2","48000","-16","experiment","HHSHH","2","even","41410","NA","NA","NA","79512","80538","79012","1670","NA","80539","1672","80639","81272","NA","NA","80639","Flanker task","20","12958.0","23","1024"
"87","87","562","562","#3d3846","legacy","legacy","legacy","incongruent","1","undefined","1","s","0","0","0","0","23","23","23","0","23","23","0","23","23","0","0","23","Tue Sep  5 19:10:39 2023","1500","The main experiment item","True","Flankertask.osexp","C:/Users/juzal/OneDrive/Documents/Masters of Equine Science/Advanced Quantitative Methods and Experiment Design","False","mono","False","18","no","white","no","yes","768","legacy","23","23","C:/Users/juzal/OneDrive/Documents/Masters of Equine Science/Advanced Quantitative Methods and Experiment Design/CH-subject-2.csv","legacy","Melodramatic Milgram","4.0.5","0","s","NA","h","s","NA","NA","536.0","NA","39738","536","NA","NA","2","legacy","1024","2","48000","-16","experiment","HHSHH","2","even","41410","NA","NA","NA","81276","82300","79012","1670","NA","82301","1672","82401","82937","NA","NA","82401","Flanker task","21","13494.0","24","1024"
"88","88","560","560","#3d3846","legacy","legacy","legacy","incongruent","1","undefined","1","h","0","0","0","0","24","24","24","0","24","24","0","24","24","0","0","24","Tue Sep  5 19:10:39 2023","1500","The main experiment item","True","Flankertask.osexp","C:/Users/juzal/OneDrive/Documents/Masters of Equine Science/Advanced Quantitative Methods and Experiment Design","False","mono","False","18","no","white","no","yes","768","legacy","24","24","C:/Users/juzal/OneDrive/Documents/Masters of Equine Science/Advanced Quantitative Methods and Experiment Design/CH-subject-2.csv","legacy","Melodramatic Milgram","4.0.5","0","h","NA","h","h","NA","NA","525.0","NA","39738","525","NA","NA","2","legacy","1024","2","48000","-16","experiment","SSHSS","2","even","41410","NA","NA","NA","82965","83990","79012","1670","NA","83991","1672","84092","84618","NA","NA","84091","Flanker task","22","14019.0","25","1024"
"88","88","556","556","#3d3846","legacy","legacy","legacy","incongruent","1","undefined","1","h","0","0","0","0","25","25","25","0","25","25","0","25","25","0","0","25","Tue Sep  5 19:10:39 2023","1500","The main experiment item","True","Flankertask.osexp","C:/Users/juzal/OneDrive/Documents/Masters of Equine Science/Advanced Quantitative Methods and Experiment Design","False","mono","False","18","no","white","no","yes","768","legacy","25","25","C:/Users/juzal/OneDrive/Documents/Masters of Equine Science/Advanced Quantitative Methods and Experiment Design/CH-subject-2.csv","legacy","Melodramatic Milgram","4.0.5","0","h","NA","h","h","NA","NA","444.0","NA","39738","444","NA","NA","2","legacy","1024","2","48000","-16","experiment","SSHSS","2","even","41410","NA","NA","NA","84650","85679","79012","1670","NA","85680","1672","85781","86226","NA","NA","85781","Flanker task","23","14463.0","26","1024"
"88","88","554","554","#3d3846","legacy","legacy","legacy","congruent","1","undefined","1","h","0","0","0","0","26","26","26","0","26","26","0","26","26","0","0","26","Tue Sep  5 19:10:39 2023","1500","The main experiment item","True","Flankertask.osexp","C:/Users/juzal/OneDrive/Documents/Masters of Equine Science/Advanced Quantitative Methods and Experiment Design","False","mono","False","18","no","white","no","yes","768","legacy","26","26","C:/Users/juzal/OneDrive/Documents/Masters of Equine Science/Advanced Quantitative Methods and Experiment Design/CH-subject-2.csv","legacy","Melodramatic Milgram","4.0.5","0","h","NA","h","h","NA","NA","498.0","NA","39738","498","NA","NA","2","legacy","1024","2","48000","-16","experiment","HHHHH","2","even","41410","NA","NA","NA","86265","87291","79012","1670","NA","87292","1672","87392","87890","NA","NA","87392","Flanker task","24","14961.0","27","1024"
"89","89","551","551","#3d3846","legacy","legacy","legacy","incongruent","1","undefined","1","s","0","0","0","0","27","27","27","0","27","27","0","27","27","0","0","27","Tue Sep  5 19:10:39 2023","1500","The main experiment item","True","Flankertask.osexp","C:/Users/juzal/OneDrive/Documents/Masters of Equine Science/Advanced Quantitative Methods and Experiment Design","False","mono","False","18","no","white","no","yes","768","legacy","27","27","C:/Users/juzal/OneDrive/Documents/Masters of Equine Science/Advanced Quantitative Methods and Experiment Design/CH-subject-2.csv","legacy","Melodramatic Milgram","4.0.5","0","s","NA","h","s","NA","NA","494.0","NA","39738","494","NA","NA","2","legacy","1024","2","48000","-16","experiment","HHSHH","2","even","41410","NA","NA","NA","87894","88920","79012","1670","NA","88921","1672","89021","89516","NA","NA","89021","Flanker task","25","15455.0","28","1024"
"89","89","551","551","#3d3846","legacy","legacy","legacy","congruent","1","undefined","1","s","0","0","0","0","28","28","28","0","28","28","0","28","28","0","0","28","Tue Sep  5 19:10:39 2023","1500","The main experiment item","True","Flankertask.osexp","C:/Users/juzal/OneDrive/Documents/Masters of Equine Science/Advanced Quantitative Methods and Experiment Design","False","mono","False","18","no","white","no","yes","768","legacy","28","28","C:/Users/juzal/OneDrive/Documents/Masters of Equine Science/Advanced Quantitative Methods and Experiment Design/CH-subject-2.csv","legacy","Melodramatic Milgram","4.0.5","0","s","NA","h","s","NA","NA","544.0","NA","39738","544","NA","NA","2","legacy","1024","2","48000","-16","experiment","SSSSS","2","even","41410","NA","NA","NA","89519","90549","79012","1670","NA","90550","1672","90650","91195","NA","NA","90650","Flanker task","26","15999.0","29","1024"
"90","90","549","549","#3d3846","legacy","legacy","legacy","congruent","1","undefined","1","s","0","0","0","0","29","29","29","0","29","29","0","29","29","0","0","29","Tue Sep  5 19:10:39 2023","1500","The main experiment item","True","Flankertask.osexp","C:/Users/juzal/OneDrive/Documents/Masters of Equine Science/Advanced Quantitative Methods and Experiment Design","False","mono","False","18","no","white","no","yes","768","legacy","29","29","C:/Users/juzal/OneDrive/Documents/Masters of Equine Science/Advanced Quantitative Methods and Experiment Design/CH-subject-2.csv","legacy","Melodramatic Milgram","4.0.5","0","s","NA","h","s","NA","NA","490.0","NA","39738","490","NA","NA","2","legacy","1024","2","48000","-16","experiment","SSSSS","2","even","41410","NA","NA","NA","91211","92237","79012","1670","NA","92238","1672","92339","92829","NA","NA","92338","Flanker task","27","16489.0","30","1024"
