"acc","accuracy","average_response_time","avg_rt","background","block","canvas_backend","clock_backend","color_backend","compensation","coordinates","correct","correct_instruction1","correct_keyboard_response","correct_response","count_ISI","count_correctFeedback","count_expSequence","count_experiment","count_experimentLoop","count_fixation","count_incorrectFeedback","count_instruction1","count_instructions2","count_keyboard_response","count_memorySet","count_new_logger","count_practiceLoop","count_probe","count_thankYou","datetime","description","disable_garbage_collection","experiment_file","experiment_path","expyriment_opengl","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","keyboard_backend","live_row","live_row_practiceLoop","logfile","mouse_backend","numberSet","opensesame_codename","opensesame_version","posInSet","present","repeat_cycle","response","response_instruction1","response_instructions2","response_keyboard_response","response_thankYou","response_time","response_time_instruction1","response_time_instructions2","response_time_keyboard_response","response_time_thankYou","round_decimals","sampler_backend","setSize","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","subject_nr","subject_parity","target","time_ISI","time_correctFeedback","time_expSequence","time_experiment","time_experimentLoop","time_fixation","time_incorrectFeedback","time_instruction1","time_instructions2","time_keyboard_response","time_memorySet","time_new_logger","time_practiceLoop","time_probe","time_thankYou","title","total_correct","total_response_time","total_responses","uniform_coordinates","width"
"81.8181818182","81.8181818182","679.454545455","679.454545455","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","left","10","10","10","0","0","10","10","0","0","10","10","10","0","10","0","10/17/21 11:53:32","The main experiment item","yes","Sternbergtask.osexp","C:\Users\Brian\Desktop\College - Graduate\Graduate Work\Advanced Quant","yes","no","mono","no","18","no","white","no","yes","768","legacy","10","10","C:/Users/Brian/Desktop/College - Graduate/Graduate Work/Advanced Quant/Lab 3/subject-1.csv","legacy","1 7 9 8 5","Kafkaesque Koffka","3.2.8","4","y","0","left","right","NA","left","NA","894","15800","NA","894","NA","2","legacy","5","1024","2","48000","-16","experiment","1","odd","8","80151","76857","77943","1938","NA","77945","29768","1948","NA","82153","78948","83047","17749","82153","NA","Sternberg task","9","7474","11","yes","1024"
"83.3333333333","83.3333333333","680.5","680.5","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","right","11","11","11","0","0","11","11","0","0","11","11","11","0","11","0","10/17/21 11:53:32","The main experiment item","yes","Sternbergtask.osexp","C:\Users\Brian\Desktop\College - Graduate\Graduate Work\Advanced Quant","yes","no","mono","no","18","no","white","no","yes","768","legacy","11","11","C:/Users/Brian/Desktop/College - Graduate/Graduate Work/Advanced Quant/Lab 3/subject-1.csv","legacy","3 1 9 4","Kafkaesque Koffka","3.2.8","0","n","0","right","right","NA","right","NA","692","15800","NA","692","NA","2","legacy","4","1024","2","48000","-16","experiment","1","odd","6","86350","83055","84142","1938","NA","84144","29768","1948","NA","88352","85147","89045","17749","88352","NA","Sternberg task","10","8166","12","yes","1024"
"84.6153846154","84.6153846154","667.615384615","667.615384615","black","experiment","legacy","legacy","legacy","0","uniform","1","undefined","1","right","12","12","12","0","0","12","12","0","0","12","12","12","0","12","0","10/17/21 11:53:32","The main experiment item","yes","Sternbergtask.osexp","C:\Users\Brian\Desktop\College - Graduate\Graduate Work\Advanced Quant","yes","no","mono","no","18","no","white","no","yes","768","legacy","0","11","C:/Users/Brian/Desktop/College - Graduate/Graduate Work/Advanced Quant/Lab 3/subject-1.csv","legacy","3 4 2","Kafkaesque Koffka","3.2.8","0","n","0","right","right","left","right","NA","513","15800","4698","513","NA","2","legacy","3","1024","2","48000","-16","experiment","1","odd","5","97095","89053","94888","1938","94774","94889","29768","1948","90075","99097","95891","99611","17749","99096","NA","Sternberg task","11","8679","13","yes","1024"
"85.7142857143","85.7142857143","651.785714286","651.785714286","black","experiment","legacy","legacy","legacy","0","uniform","1","undefined","1","left","13","13","13","0","0","13","13","0","0","13","13","13","0","13","0","10/17/21 11:53:32","The main experiment item","yes","Sternbergtask.osexp","C:\Users\Brian\Desktop\College - Graduate\Graduate Work\Advanced Quant","yes","no","mono","no","18","no","white","no","yes","768","legacy","1","11","C:/Users/Brian/Desktop/College - Graduate/Graduate Work/Advanced Quant/Lab 3/subject-1.csv","legacy","8 5 1 3 9","Kafkaesque Koffka","3.2.8","4","y","0","left","right","left","left","NA","446","15800","4698","446","NA","2","legacy","5","1024","2","48000","-16","experiment","1","odd","3","102911","99619","100704","1938","94774","100706","29768","1948","90075","104913","101709","105359","17749","104913","NA","Sternberg task","12","9125","14","yes","1024"
"86.6666666667","86.6666666667","635.933333333","635.933333333","black","experiment","legacy","legacy","legacy","0","uniform","1","undefined","1","left","14","14","14","0","0","14","14","0","0","14","14","14","0","14","0","10/17/21 11:53:32","The main experiment item","yes","Sternbergtask.osexp","C:\Users\Brian\Desktop\College - Graduate\Graduate Work\Advanced Quant","yes","no","mono","no","18","no","white","no","yes","768","legacy","2","11","C:/Users/Brian/Desktop/College - Graduate/Graduate Work/Advanced Quant/Lab 3/subject-1.csv","legacy","8","Kafkaesque Koffka","3.2.8","1","y","0","left","right","left","left","NA","414","15800","4698","414","NA","2","legacy","1","1024","2","48000","-16","experiment","1","odd","8","108661","105368","106454","1938","94774","106456","29768","1948","90075","110664","107458","111078","17749","110664","NA","Sternberg task","13","9539","15","yes","1024"
"81.25","81.25","635.5625","635.5625","black","experiment","legacy","legacy","legacy","0","uniform","0","undefined","0","right","15","15","15","0","0","15","15","0","0","15","15","15","0","15","0","10/17/21 11:53:32","The main experiment item","yes","Sternbergtask.osexp","C:\Users\Brian\Desktop\College - Graduate\Graduate Work\Advanced Quant","yes","no","mono","no","18","no","white","no","yes","768","legacy","3","11","C:/Users/Brian/Desktop/College - Graduate/Graduate Work/Advanced Quant/Lab 3/subject-1.csv","legacy","7 4 2 8 1 9","Kafkaesque Koffka","3.2.8","0","n","0","left","right","left","left","NA","630","15800","4698","630","NA","2","legacy","6","1024","2","48000","-16","experiment","1","odd","5","114379","111087","112171","1938","94774","112173","29768","1948","90075","116382","113176","117012","17749","116382","NA","Sternberg task","13","10169","16","yes","1024"
"82.3529411765","82.3529411765","635.058823529","635.058823529","black","experiment","legacy","legacy","legacy","0","uniform","1","undefined","1","left","16","16","16","0","0","16","16","0","0","16","16","16","0","16","0","10/17/21 11:53:32","The main experiment item","yes","Sternbergtask.osexp","C:\Users\Brian\Desktop\College - Graduate\Graduate Work\Advanced Quant","yes","no","mono","no","18","no","white","no","yes","768","legacy","4","11","C:/Users/Brian/Desktop/College - Graduate/Graduate Work/Advanced Quant/Lab 3/subject-1.csv","legacy","8 3","Kafkaesque Koffka","3.2.8","2","y","0","left","right","left","left","NA","627","15800","4698","627","NA","2","legacy","2","1024","2","48000","-16","experiment","1","odd","3","120316","111087","118108","1938","94774","118110","117021","1948","90075","122317","119112","122945","17749","122317","NA","Sternberg task","14","10796","17","yes","1024"
"83.3333333333","83.3333333333","642.555555556","642.555555556","black","experiment","legacy","legacy","legacy","0","uniform","1","undefined","1","right","17","17","17","0","0","17","17","0","0","17","17","17","0","17","0","10/17/21 11:53:32","The main experiment item","yes","Sternbergtask.osexp","C:\Users\Brian\Desktop\College - Graduate\Graduate Work\Advanced Quant","yes","no","mono","no","18","no","white","no","yes","768","legacy","5","11","C:/Users/Brian/Desktop/College - Graduate/Graduate Work/Advanced Quant/Lab 3/subject-1.csv","legacy","2 8 6 3 1","Kafkaesque Koffka","3.2.8","0","n","0","right","right","left","right","NA","770","15800","4698","770","NA","2","legacy","5","1024","2","48000","-16","experiment","1","odd","7","126250","122954","124042","1938","94774","124043","117021","1948","90075","128252","125047","129023","17749","128252","NA","Sternberg task","15","11566","18","yes","1024"
"84.2105263158","84.2105263158","637.368421053","637.368421053","black","experiment","legacy","legacy","legacy","0","uniform","1","undefined","1","right","18","18","18","0","0","18","18","0","0","18","18","18","0","18","0","10/17/21 11:53:32","The main experiment item","yes","Sternbergtask.osexp","C:\Users\Brian\Desktop\College - Graduate\Graduate Work\Advanced Quant","yes","no","mono","no","18","no","white","no","yes","768","legacy","6","11","C:/Users/Brian/Desktop/College - Graduate/Graduate Work/Advanced Quant/Lab 3/subject-1.csv","legacy","6 2 9 3 8 4","Kafkaesque Koffka","3.2.8","0","n","0","right","right","left","right","NA","544","15800","4698","544","NA","2","legacy","6","1024","2","48000","-16","experiment","1","odd","1","132329","129031","130121","1938","94774","130123","117021","1948","90075","134332","131126","134876","17749","134332","NA","Sternberg task","16","12110","19","yes","1024"
"85","85","642.65","642.65","black","experiment","legacy","legacy","legacy","0","uniform","1","undefined","1","right","19","19","19","0","0","19","19","0","0","19","19","19","0","19","0","10/17/21 11:53:32","The main experiment item","yes","Sternbergtask.osexp","C:\Users\Brian\Desktop\College - Graduate\Graduate Work\Advanced Quant","yes","no","mono","no","18","no","white","no","yes","768","legacy","7","11","C:/Users/Brian/Desktop/College - Graduate/Graduate Work/Advanced Quant/Lab 3/subject-1.csv","legacy","7 8 6 1","Kafkaesque Koffka","3.2.8","0","n","0","right","right","left","right","NA","743","15800","4698","743","NA","2","legacy","4","1024","2","48000","-16","experiment","1","odd","3","138172","134880","135965","1938","94774","135966","117021","1948","90075","140174","136969","140918","17749","140174","NA","Sternberg task","17","12853","20","yes","1024"
"85.7142857143","85.7142857143","641.333333333","641.333333333","black","experiment","legacy","legacy","legacy","0","uniform","1","undefined","1","right","20","20","20","0","0","20","20","0","0","20","20","20","0","20","0","10/17/21 11:53:32","The main experiment item","yes","Sternbergtask.osexp","C:\Users\Brian\Desktop\College - Graduate\Graduate Work\Advanced Quant","yes","no","mono","no","18","no","white","no","yes","768","legacy","8","11","C:/Users/Brian/Desktop/College - Graduate/Graduate Work/Advanced Quant/Lab 3/subject-1.csv","legacy","7 1 5 6 3","Kafkaesque Koffka","3.2.8","0","n","0","right","right","left","right","NA","615","15800","4698","615","NA","2","legacy","5","1024","2","48000","-16","experiment","1","odd","8","144219","140922","142012","1938","94774","142013","117021","1948","90075","146220","143016","146836","17749","146220","NA","Sternberg task","18","13468","21","yes","1024"
"86.3636363636","86.3636363636","648.772727273","648.772727273","black","experiment","legacy","legacy","legacy","0","uniform","1","undefined","1","left","21","21","21","0","0","21","21","0","0","21","21","21","0","21","0","10/17/21 11:53:32","The main experiment item","yes","Sternbergtask.osexp","C:\Users\Brian\Desktop\College - Graduate\Graduate Work\Advanced Quant","yes","no","mono","no","18","no","white","no","yes","768","legacy","9","11","C:/Users/Brian/Desktop/College - Graduate/Graduate Work/Advanced Quant/Lab 3/subject-1.csv","legacy","7 4 2 6 3 5","Kafkaesque Koffka","3.2.8","6","y","0","left","right","left","left","NA","805","15800","4698","805","NA","2","legacy","6","1024","2","48000","-16","experiment","1","odd","5","150137","146844","147931","1938","94774","147933","117021","1948","90075","152140","148934","152946","17749","152140","NA","Sternberg task","19","14273","22","yes","1024"
"86.9565217391","86.9565217391","639.695652174","639.695652174","black","experiment","legacy","legacy","legacy","0","uniform","1","undefined","1","left","22","22","22","0","0","22","22","0","0","22","22","22","0","22","0","10/17/21 11:53:32","The main experiment item","yes","Sternbergtask.osexp","C:\Users\Brian\Desktop\College - Graduate\Graduate Work\Advanced Quant","yes","no","mono","no","18","no","white","no","yes","768","legacy","10","11","C:/Users/Brian/Desktop/College - Graduate/Graduate Work/Advanced Quant/Lab 3/subject-1.csv","legacy","8 7 3","Kafkaesque Koffka","3.2.8","1","y","0","left","right","left","left","NA","440","15800","4698","440","NA","2","legacy","3","1024","2","48000","-16","experiment","1","odd","8","156247","152955","154039","1938","94774","154041","117021","1948","90075","158249","155044","158690","17749","158249","NA","Sternberg task","20","14713","23","yes","1024"
"87.5","87.5","633.458333333","633.458333333","black","experiment","legacy","legacy","legacy","0","uniform","1","undefined","1","left","23","23","23","0","0","23","23","0","0","23","23","23","0","23","0","10/17/21 11:53:32","The main experiment item","yes","Sternbergtask.osexp","C:\Users\Brian\Desktop\College - Graduate\Graduate Work\Advanced Quant","yes","no","mono","no","18","no","white","no","yes","768","legacy","11","11","C:/Users/Brian/Desktop/College - Graduate/Graduate Work/Advanced Quant/Lab 3/subject-1.csv","legacy","4 7 6 8 2 3","Kafkaesque Koffka","3.2.8","6","y","0","left","right","left","left","NA","490","15800","4698","490","NA","2","legacy","6","1024","2","48000","-16","experiment","1","odd","3","161995","158698","159788","1938","94774","159789","117021","1948","90075","163996","160792","164487","17749","163996","NA","Sternberg task","21","15203","24","yes","1024"
"88","88","628.48","628.48","black","experiment","legacy","legacy","legacy","0","uniform","1","undefined","1","right","24","24","24","0","0","24","24","0","0","24","24","24","0","24","0","10/17/21 11:53:32","The main experiment item","yes","Sternbergtask.osexp","C:\Users\Brian\Desktop\College - Graduate\Graduate Work\Advanced Quant","yes","no","mono","no","18","no","white","no","yes","768","legacy","12","11","C:/Users/Brian/Desktop/College - Graduate/Graduate Work/Advanced Quant/Lab 3/subject-1.csv","legacy","6 9 4 5 3 2","Kafkaesque Koffka","3.2.8","0","n","0","right","right","left","right","NA","509","15800","4698","509","NA","2","legacy","6","1024","2","48000","-16","experiment","1","odd","8","167798","164494","165590","1938","94774","165592","117021","1948","90075","169799","166595","170309","17749","169799","NA","Sternberg task","22","15712","25","yes","1024"
"88.4615384615","88.4615384615","628.230769231","628.230769231","black","experiment","legacy","legacy","legacy","0","uniform","1","undefined","1","left","25","25","25","0","0","25","25","0","0","25","25","25","0","25","0","10/17/21 11:53:32","The main experiment item","yes","Sternbergtask.osexp","C:\Users\Brian\Desktop\College - Graduate\Graduate Work\Advanced Quant","yes","no","mono","no","18","no","white","no","yes","768","legacy","13","11","C:/Users/Brian/Desktop/College - Graduate/Graduate Work/Advanced Quant/Lab 3/subject-1.csv","legacy","4 3 2 5 8","Kafkaesque Koffka","3.2.8","2","y","0","left","right","left","left","NA","622","15800","4698","622","NA","2","legacy","5","1024","2","48000","-16","experiment","1","odd","3","173610","170313","171403","1938","94774","171404","117021","1948","90075","175613","172406","176236","17749","175613","NA","Sternberg task","23","16334","26","yes","1024"
"88.8888888889","88.8888888889","620.666666667","620.666666667","black","experiment","legacy","legacy","legacy","0","uniform","1","undefined","1","left","26","26","26","0","0","26","26","0","0","26","26","26","0","26","0","10/17/21 11:53:32","The main experiment item","yes","Sternbergtask.osexp","C:\Users\Brian\Desktop\College - Graduate\Graduate Work\Advanced Quant","yes","no","mono","no","18","no","white","no","yes","768","legacy","14","11","C:/Users/Brian/Desktop/College - Graduate/Graduate Work/Advanced Quant/Lab 3/subject-1.csv","legacy","6 7 9 3 1 2","Kafkaesque Koffka","3.2.8","1","y","0","left","right","left","left","NA","424","15800","4698","424","NA","2","legacy","6","1024","2","48000","-16","experiment","1","odd","6","179541","176245","177333","1938","94774","177335","117021","1948","90075","181543","178338","181968","17749","181543","NA","Sternberg task","24","16758","27","yes","1024"
"89.2857142857","89.2857142857","617.107142857","617.107142857","black","experiment","legacy","legacy","legacy","0","uniform","1","undefined","1","left","27","27","27","0","0","27","27","0","0","27","27","27","0","27","0","10/17/21 11:53:32","The main experiment item","yes","Sternbergtask.osexp","C:\Users\Brian\Desktop\College - Graduate\Graduate Work\Advanced Quant","yes","no","mono","no","18","no","white","no","yes","768","legacy","15","11","C:/Users/Brian/Desktop/College - Graduate/Graduate Work/Advanced Quant/Lab 3/subject-1.csv","legacy","6 2","Kafkaesque Koffka","3.2.8","1","y","0","left","right","left","left","NA","521","15800","4698","521","NA","2","legacy","2","1024","2","48000","-16","experiment","1","odd","6","185271","181975","183063","1938","94774","183064","117021","1948","90075","187273","184068","187795","17749","187272","NA","Sternberg task","25","17279","28","yes","1024"
"89.6551724138","89.6551724138","616.482758621","616.482758621","black","experiment","legacy","legacy","legacy","0","uniform","1","undefined","1","left","28","28","28","0","0","28","28","0","0","28","28","28","0","28","0","10/17/21 11:53:32","The main experiment item","yes","Sternbergtask.osexp","C:\Users\Brian\Desktop\College - Graduate\Graduate Work\Advanced Quant","yes","no","mono","no","18","no","white","no","yes","768","legacy","16","11","C:/Users/Brian/Desktop/College - Graduate/Graduate Work/Advanced Quant/Lab 3/subject-1.csv","legacy","3 5 7 1","Kafkaesque Koffka","3.2.8","3","y","0","left","right","left","left","NA","599","15800","4698","599","NA","2","legacy","4","1024","2","48000","-16","experiment","1","odd","7","191100","187804","188893","1938","94774","188895","117021","1948","90075","193103","189898","193703","17749","193103","NA","Sternberg task","26","17878","29","yes","1024"
"90","90","608.566666667","608.566666667","black","experiment","legacy","legacy","legacy","0","uniform","1","undefined","1","right","29","29","29","0","0","29","29","0","0","29","29","29","0","29","0","10/17/21 11:53:32","The main experiment item","yes","Sternbergtask.osexp","C:\Users\Brian\Desktop\College - Graduate\Graduate Work\Advanced Quant","yes","no","mono","no","18","no","white","no","yes","768","legacy","17","11","C:/Users/Brian/Desktop/College - Graduate/Graduate Work/Advanced Quant/Lab 3/subject-1.csv","legacy","9 8 2 7 4","Kafkaesque Koffka","3.2.8","0","n","0","right","right","left","right","NA","379","15800","4698","379","NA","2","legacy","5","1024","2","48000","-16","experiment","1","odd","5","197003","193711","194795","1938","94774","194797","117021","1948","90075","199004","195800","199384","17749","199004","NA","Sternberg task","27","18257","30","yes","1024"
"87.0967741935","87.0967741935","606.096774194","606.096774194","black","experiment","legacy","legacy","legacy","0","uniform","0","undefined","0","right","30","30","30","0","0","30","30","0","0","30","30","30","0","30","0","10/17/21 11:53:32","The main experiment item","yes","Sternbergtask.osexp","C:\Users\Brian\Desktop\College - Graduate\Graduate Work\Advanced Quant","yes","no","mono","no","18","no","white","no","yes","768","legacy","18","11","C:/Users/Brian/Desktop/College - Graduate/Graduate Work/Advanced Quant/Lab 3/subject-1.csv","legacy","2 5 1 4","Kafkaesque Koffka","3.2.8","0","n","0","left","right","left","left","NA","532","15800","4698","532","NA","2","legacy","4","1024","2","48000","-16","experiment","1","odd","6","202688","199393","200480","1938","94774","200482","117021","1948","90075","204689","201485","205222","17749","204689","NA","Sternberg task","27","18789","31","yes","1024"
"87.5","87.5","605.0625","605.0625","black","experiment","legacy","legacy","legacy","0","uniform","1","undefined","1","right","31","31","31","0","0","31","31","0","0","31","31","31","0","31","0","10/17/21 11:53:32","The main experiment item","yes","Sternbergtask.osexp","C:\Users\Brian\Desktop\College - Graduate\Graduate Work\Advanced Quant","yes","no","mono","no","18","no","white","no","yes","768","legacy","19","11","C:/Users/Brian/Desktop/College - Graduate/Graduate Work/Advanced Quant/Lab 3/subject-1.csv","legacy","7 9 1 6","Kafkaesque Koffka","3.2.8","0","n","0","right","right","left","right","NA","573","15800","4698","573","NA","2","legacy","4","1024","2","48000","-16","experiment","1","odd","4","208523","199393","206314","1938","94774","206316","205226","1948","90075","210524","207319","211098","17749","210524","NA","Sternberg task","28","19362","32","yes","1024"
